Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,251,16,F:System.Windows.Forms.MessageBoxIcon.Information,,,,,"MessageBox.Show(""Please select an item to delete."", ""No Item Selected"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,251,16,T:System.Windows.Forms.MessageBoxButtons,,,,,"MessageBox.Show(""Please select an item to delete."", ""No Item Selected"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,251,16,T:System.Windows.Forms.MessageBoxButtons,,,,,"MessageBox.Show(""Please select an item to delete."", ""No Item Selected"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,251,16,F:System.Windows.Forms.MessageBoxButtons.OK,,,,,"MessageBox.Show(""Please select an item to delete."", ""No Item Selected"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,251,16,T:System.Windows.Forms.MessageBox,,,,,"MessageBox.Show(""Please select an item to delete."", ""No Item Selected"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,251,16,T:System.Windows.Forms.DialogResult,,,,,"MessageBox.Show(""Please select an item to delete."", ""No Item Selected"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,251,16,"M:System.Windows.Forms.MessageBox.Show(System.String,System.String,System.Windows.Forms.MessageBoxButtons,System.Windows.Forms.MessageBoxIcon)",,,,,"MessageBox.Show(""Please select an item to delete."", ""No Item Selected"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,248,16,T:System.Windows.Forms.TextBox,,,,,"DeleteSelectedItem(ExtrasListLB, ExtrasItemCountTB, ""Extras"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,248,16,T:System.Windows.Forms.ListBox,,,,,"DeleteSelectedItem(ExtrasListLB, ExtrasItemCountTB, ""Extras"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,4-Column Shopping List.csproj,File,Form1.cs,246,17,T:System.Windows.Forms.ListBox,,,,,"if (ExtrasListLB.Focused)              {                  DeleteSelectedItem(ExtrasListLB, ExtrasItemCountTB, ""Extras"");              } else {                  // Handle the case where no list box has focus                  MessageBox.Show(""Please select an item to delete."", ""No Item Selected"", MessageBoxButtons.OK, MessageBoxIcon.Information);              }"
